SMILES,Molecule,select_tag
Cc1cc(C)[n+](F)c(C)c1.O=S(=O)([O-])C(F)(F)F,F-1·OTf,True
F[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,F-2·Otf,True
F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,F-3·2BF4,True
O=C(O)c1ccccc1I(=O)=O,I-1,False
O=Ic1ccccc1,I-2,False
O=C1OI(O)c2ccccc21,I-3,False
O=C1CCC(=O)N1Cl,NCS,True
O=C1c2ccccc2S(=O)(=O)N1Cl,Cl-1,False
CC1(C)C(=O)N(Cl)C(=O)N1Cl,Cl-2,False
COC(=O)NC(=NCl)NC(=O)OC,Cl-3,False
O=C1c2ccccc2C(=O)N1Cl,Cl-4,True
O=S(=O)([O-])OOS(=O)(=O)[O-].[K+].[K+],K2S2O8,False
O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O[O-].[K+],KHSO5·2H2SO4,False
O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ce+4].[NH4+].[NH4+],(NH4)2[Ce(NO3)6],False
F[B-](F)(F)F.[Ag+],AgBF4,False
